recommendation_rank,street_names,neighbourhood,public_space_composite,headline,transit_departures_250m,transit_stops_250m,population_2021_400m,onstreet_supply_250m,onstreet_peak_occupancy_250m,full_signal,signalised,leg_count,collision_count,collision_data_available,reason_text,basis,neutrality,legal_note
11,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,83.43,"transit hub, high footfall, signalised",1103.0,11,5776.7,214.0,0.932,True,True,4,46.0,True,"Very high transit activity: 1,103 scheduled weekday bus departures within 250 m across 11 stops — a steady stream of people on foot. Solid residential catchment: about 5,777 residents within 400 m. Commercial frontage nearby (15.4 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 214 on-street spaces within 250 m, but they hit 93% occupancy at peak — arrive early or use a lot. CAUTION: 46 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
12,E 14TH ST / LONSDALE AVE,Central Lonsdale,83.2,"transit hub, high footfall, signalised, easy parking",1072.0,7,7971.2,703.0,0.722,True,True,3,53.0,True,"Very high transit activity: 1,072 scheduled weekday bus departures within 250 m across 7 stops — a steady stream of people on foot. Dense residential catchment: about 7,971 residents live within a 5-minute walk (400 m). Commercial frontage nearby (11.5 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. 703 on-street parking spaces within 250 m for loading in and out. CAUTION: 53 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
13,CHESTERFIELD AVE / W 13TH ST,Central Lonsdale,83.1,"high footfall, signalised, easy parking",586.0,4,6822.5,699.0,0.61,True,True,4,52.0,True,"Good transit activity: 586 weekday departures within 250 m. Dense residential catchment: about 6,822 residents live within a 5-minute walk (400 m). Commercial frontage nearby (3.8 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 699 on-street parking spaces within 250 m for loading in and out. CAUTION: 52 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
14,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,82.93,"transit hub, high footfall, signalised",954.0,8,7049.3,369.0,0.882,True,True,4,42.0,True,"Very high transit activity: 954 scheduled weekday bus departures within 250 m across 8 stops — a steady stream of people on foot. Dense residential catchment: about 7,049 residents live within a 5-minute walk (400 m). Commercial frontage nearby (14.0 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 369 on-street spaces within 250 m, but they hit 88% occupancy at peak — arrive early or use a lot. CAUTION: 42 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
15,LONSDALE AVE / W 16TH ST,Central Lonsdale,81.87,"transit hub, high footfall, signalised",1001.0,7,7452.8,730.0,0.819,True,True,3,56.0,True,"Very high transit activity: 1,001 scheduled weekday bus departures within 250 m across 7 stops — a steady stream of people on foot. Dense residential catchment: about 7,453 residents live within a 5-minute walk (400 m). Commercial frontage nearby (8.9 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. 730 on-street parking spaces within 250 m for loading in and out. CAUTION: 56 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
16,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,81.36,signalised,602.0,4,4901.2,737.0,0.872,True,True,4,59.0,True,"Good transit activity: 602 weekday departures within 250 m. Solid residential catchment: about 4,901 residents within 400 m. Commercial frontage nearby (3.4 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 737 on-street spaces within 250 m, but they hit 87% occupancy at peak — arrive early or use a lot. CAUTION: 59 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
17,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,81.27,signalised,560.0,6,7361.6,559.0,0.821,True,True,4,41.0,True,"Good transit activity: 560 weekday departures within 250 m. Dense residential catchment: about 7,362 residents live within a 5-minute walk (400 m). Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 559 on-street parking spaces within 250 m for loading in and out. CAUTION: 41 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
18,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,81.06,signalised,602.0,4,5783.1,708.0,0.899,True,True,4,46.0,True,"Good transit activity: 602 weekday departures within 250 m. Solid residential catchment: about 5,783 residents within 400 m. Commercial frontage nearby (4.6 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 708 on-street spaces within 250 m, but they hit 90% occupancy at peak — arrive early or use a lot. CAUTION: 46 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
19,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,80.86,"transit hub, signalised",682.0,6,8007.5,597.0,0.824,True,False,4,15.0,True,"Good transit activity: 682 weekday departures within 250 m. Dense residential catchment: about 8,008 residents live within a 5-minute walk (400 m). Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 597 on-street parking spaces within 250 m for loading in and out.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
20,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,80.48,signalised,602.0,4,4145.4,690.0,0.854,True,True,4,65.0,True,"Good transit activity: 602 weekday departures within 250 m. Solid residential catchment: about 4,145 residents within 400 m. Commercial frontage nearby (4.2 ha of commercial/mixed land use within 250 m), so there is footfall beyond residents. Full traffic signal: pedestrians and drivers actually stop here, which creates dwell time rather than passing traffic. Prominent junction with 4 approaches — visible from several directions at once. 690 on-street spaces within 250 m, but they hit 85% occupancy at peak — arrive early or use a lot. CAUTION: 65 recorded collisions here — one of the higher-collision junctions in the city. Stand well back from the kerb.","Public-space exposure only: transit activity, resident catchment, commercial frontage, junction prominence and parking access.","Contains no political variable. Identical for any campaign of any viewpoint. Measures where people are, not who they are.","BC's Local Government Act restricts campaigning at and near voting places on voting day, and CNV requires permits for some activities on City property. Confirm with the CNV Chief Election Officer before campaigning at any location."
