rank,intersection_id,street_names,neighbourhood,collision_count,collision_data_available,safety_score,metric,value,source,methodology_note
14,CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,59.0,True,5.15,collision_count,59.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
15,CNV-INT-0003,COTTON RD / GLADSTONE AVE,Moodyville,59.0,True,5.15,collision_count,59.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
16,CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,56.0,True,6.11,collision_count,56.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
17,CNV-INT-0333,FORBES AVE / W 3RD ST,Squamish Nation (Mission IR 1),56.0,True,6.11,collision_count,56.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
18,CNV-INT-0438,FIR ST / LARSON RD / WESTVIEW DR,Mahon,56.0,True,6.11,collision_count,56.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
19,CNV-INT-0425,FELL AVE / W 16TH ST,Marine-Hamilton,54.0,True,6.87,collision_count,54.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
20,CNV-INT-0383,E 14TH ST / LONSDALE AVE,Central Lonsdale,53.0,True,7.25,collision_count,53.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
21,CNV-INT-0376,CHESTERFIELD AVE / W 13TH ST,Central Lonsdale,52.0,True,7.82,collision_count,52.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
22,CNV-INT-0358,BEWICKE AVE / W 16TH ST,Marine-Hamilton,52.0,True,7.82,collision_count,52.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
23,CNV-INT-0206,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,46.0,True,8.59,collision_count,46.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
24,CNV-INT-0266,E ESPLANADE / LONSDALE AVE / W ESPLANADE,Lower Lonsdale,46.0,True,8.59,collision_count,46.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
25,CNV-INT-0270,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,42.0,True,9.35,collision_count,42.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
26,CNV-INT-0187,E 13TH ST / ST. GEORGES AVE,Central Lonsdale,42.0,True,9.35,collision_count,42.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
27,CNV-INT-0301,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,41.0,True,9.92,collision_count,41.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
28,CNV-INT-0366,JONES AVE / W KEITH RD,Lower Lonsdale,38.0,True,10.31,collision_count,38.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
29,CNV-INT-0481,E 27TH ST / LONSDALE AVE / W 27TH ST,Central Lonsdale,35.0,True,10.69,collision_count,35.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
30,CNV-INT-0261,E 3RD ST / ST. GEORGES AVE,Lower Lonsdale,34.0,True,11.07,collision_count,34.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
31,CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,31.0,True,11.64,collision_count,31.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
32,CNV-INT-0056,E KEITH RD / QUEENSBURY AVE,Moodyville,31.0,True,11.64,collision_count,31.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
33,CNV-INT-0190,E 15TH ST / ST. GEORGES AVE,Central Lonsdale,30.0,True,12.6,collision_count,30.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
34,CNV-INT-0496,WESTVIEW CRES / WESTVIEW DR,Westview,30.0,True,12.6,collision_count,30.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
35,CNV-INT-0279,CHESTERFIELD AVE / W 1ST ST,Lower Lonsdale,30.0,True,12.6,collision_count,30.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
36,CNV-INT-0087,E KEITH RD / ST. ANDREWS AVE,Lower Lonsdale,29.0,True,13.36,collision_count,29.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
37,CNV-INT-0221,E 23RD ST / ST. GEORGES AVE,Central Lonsdale,28.0,True,14.31,collision_count,28.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
38,CNV-INT-0101,E KEITH RD / ST. GEORGES AVE,Lower Lonsdale,28.0,True,14.31,collision_count,28.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
39,CNV-INT-0342,BEWICKE AVE / W 2ND ST,Marine-Hamilton,28.0,True,14.31,collision_count,28.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
40,CNV-INT-0082,E 3RD ST / ST. ANDREWS AVE,Lower Lonsdale,28.0,True,14.31,collision_count,28.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
41,CNV-INT-0395,CHESTERFIELD AVE / W 19TH ST,Central Lonsdale,27.0,True,15.46,collision_count,27.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
42,CNV-INT-0277,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,27.0,True,15.46,collision_count,27.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
43,CNV-INT-0202,E 17TH ST / ST. GEORGES AVE,Central Lonsdale,26.0,True,16.03,collision_count,26.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
44,CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,25.0,True,16.6,collision_count,25.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
45,CNV-INT-0415,JONES AVE / LARSON CRES / W 23RD ST,Mahon,25.0,True,16.6,collision_count,25.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
46,CNV-INT-0263,E ESPLANADE / ST. GEORGES AVE,Lower Lonsdale,24.0,True,17.37,collision_count,24.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
47,CNV-INT-0388,CHESTERFIELD AVE / W 16TH ST,Central Lonsdale,24.0,True,17.37,collision_count,24.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
48,CNV-INT-0213,E 21ST ST / ST. GEORGES AVE,Central Lonsdale,23.0,True,18.13,collision_count,23.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
49,CNV-INT-0347,HANES AVE / W 1ST ST,Marine-Hamilton,23.0,True,18.13,collision_count,23.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
50,CNV-INT-0207,E 19TH ST / ST. GEORGES AVE,Central Lonsdale,22.0,True,19.27,collision_count,22.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
51,CNV-INT-0159,E 19TH ST / GRAND BLVD / MOODY AVE,Grand Boulevard,22.0,True,19.27,collision_count,22.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
52,CNV-INT-0053,E KEITH RD / MOODY AVE,Grand Boulevard,22.0,True,19.27,collision_count,22.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
53,CNV-INT-0124,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,22.0,True,19.27,collision_count,22.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
54,CNV-INT-0353,FORBES AVE / W KEITH RD,Marine-Hamilton,21.0,True,20.23,collision_count,21.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
55,CNV-INT-0409,CHESTERFIELD AVE / W 23RD ST,Central Lonsdale,20.0,True,20.99,collision_count,20.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
56,CNV-INT-0309,CHESTERFIELD AVE / W KEITH RD,Lower Lonsdale,20.0,True,20.99,collision_count,20.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
57,CNV-INT-0349,FELL AVE / W 3RD ST,Marine-Hamilton,20.0,True,20.99,collision_count,20.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
58,CNV-INT-0026,E 3RD ST / QUEENSBURY AVE,Moodyville,19.0,True,22.14,collision_count,19.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
59,CNV-INT-0287,CHESTERFIELD AVE / W 2ND ST,Lower Lonsdale,19.0,True,22.14,collision_count,19.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
60,CNV-INT-0299,MAHON AVE / W 3RD ST,Lower Lonsdale,19.0,True,22.14,collision_count,19.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
61,CNV-INT-0386,CHESTERFIELD AVE / W 15TH ST,Central Lonsdale,18.0,True,23.47,collision_count,18.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
62,CNV-INT-0429,MACKAY RD / MARINE DR,Marine-Hamilton,18.0,True,23.47,collision_count,18.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
63,CNV-INT-0259,E 1ST ST / ST. GEORGES AVE,Lower Lonsdale,18.0,True,23.47,collision_count,18.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
64,CNV-INT-0210,E 20TH ST / ST. GEORGES AVE,Central Lonsdale,18.0,True,23.47,collision_count,18.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
65,CNV-INT-0332,DONAGHY AVE / W 1ST ST,Marine-Hamilton,17.0,True,25.0,collision_count,17.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
66,CNV-INT-0045,CLOVERLEY ST / E KEITH RD,,17.0,True,25.0,collision_count,17.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
67,CNV-INT-0390,CHESTERFIELD AVE / W 17TH ST,Central Lonsdale,17.0,True,25.0,collision_count,17.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
68,CNV-INT-0004,BROOKSBANK AVE / E 3RD ST,Moodyville,17.0,True,25.0,collision_count,17.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
69,CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,16.0,True,26.15,collision_count,16.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
70,CNV-INT-0122,E 12TH ST / ST. GEORGES AVE,Central Lonsdale,16.0,True,26.15,collision_count,16.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
71,CNV-INT-0341,MISSION RD / W 3RD ST,Squamish Nation (Mission IR 1),15.0,True,26.91,collision_count,15.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
72,CNV-INT-0282,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,15.0,True,26.91,collision_count,15.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
73,CNV-INT-0348,MACKAY RD / W 1ST ST,Marine-Hamilton,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
74,CNV-INT-0191,E 15TH ST / ST. ANDREWS AVE,Central Lonsdale,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
75,CNV-INT-0264,VICTORY SHIP WAY / WALLACE MEWS,Lower Lonsdale,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
76,CNV-INT-0025,E 3RD ST / MOODY AVE,Moodyville,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
77,CNV-INT-0192,E 15TH ST / EASTERN AVE,Central Lonsdale,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
78,CNV-INT-0407,LONSDALE AVE / W 22ND ST,Central Lonsdale,14.0,True,28.44,collision_count,14.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
79,CNV-INT-0267,LONSDALE AVE / VICTORY SHIP WAY,Lower Lonsdale,13.0,True,29.96,collision_count,13.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
80,CNV-INT-0055,E KEITH RD / RIDGEWAY AVE,Grand Boulevard,13.0,True,29.96,collision_count,13.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
81,CNV-INT-0260,E 2ND ST / ST. GEORGES AVE,Lower Lonsdale,12.0,True,31.3,collision_count,12.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
82,CNV-INT-0283,E 6TH ST / LONSDALE AVE / W 6TH ST,Lower Lonsdale,12.0,True,31.3,collision_count,12.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
83,CNV-INT-0223,E 24TH ST / ST. GEORGES AVE,Central Lonsdale,12.0,True,31.3,collision_count,12.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
84,CNV-INT-0352,MACKAY RD / W 3RD ST,Marine-Hamilton,12.0,True,31.3,collision_count,12.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
85,CNV-INT-0380,CHESTERFIELD AVE / W 14TH ST,Central Lonsdale,12.0,True,31.3,collision_count,12.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
86,CNV-INT-0351,HANES AVE / W 3RD ST,Marine-Hamilton,11.0,True,33.02,collision_count,11.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
87,CNV-INT-0046,ADDERLEY ST / E KEITH RD,,11.0,True,33.02,collision_count,11.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
88,CNV-INT-0099,E 6TH ST / ST. GEORGES AVE,Lower Lonsdale,11.0,True,33.02,collision_count,11.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
89,CNV-INT-0327,AUTOMALL DR / FELL AVE,Marine-Hamilton,11.0,True,33.02,collision_count,11.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
90,CNV-INT-0278,SEMISCH AVE / W ESPLANADE,Lower Lonsdale,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
91,CNV-INT-0285,MAHON AVE / W ESPLANADE,Lower Lonsdale,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
92,CNV-INT-0446,W 19TH ST / WESTVIEW DR,Mahon,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
93,CNV-INT-0027,E 3RD ST / RIDGEWAY AVE,Moodyville,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
94,CNV-INT-0208,E 19TH ST / ST. ANDREWS AVE,Central Lonsdale,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
95,CNV-INT-0253,E 26TH ST / LONSDALE AVE,Central Lonsdale,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
96,CNV-INT-0037,BROOKSBANK AVE / E 5TH ST,Moodyville,10.0,True,35.11,collision_count,10.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
97,CNV-INT-0070,E 3RD ST / ST. DAVIDS AVE,Moodyville,9.0,True,37.02,collision_count,9.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
98,CNV-INT-0011,E 3RD ST / KENNARD AVE,Moodyville,9.0,True,37.02,collision_count,9.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
99,CNV-INT-0422,FELL AVE / W 15TH ST,Marine-Hamilton,9.0,True,37.02,collision_count,9.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
100,CNV-INT-0298,FORBES AVE / W 2ND ST,Squamish Nation (Mission IR 1),8.0,True,38.55,collision_count,8.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
101,CNV-INT-0086,E 5TH ST / ST. GEORGES AVE,Lower Lonsdale,8.0,True,38.55,collision_count,8.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
102,CNV-INT-0394,CHESTERFIELD AVE / W 18TH ST,Central Lonsdale,8.0,True,38.55,collision_count,8.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
103,CNV-INT-0289,MAHON AVE / W 1ST ST,Lower Lonsdale,8.0,True,38.55,collision_count,8.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
104,CNV-INT-0271,ROGERS AVE / W ESPLANADE,Lower Lonsdale,8.0,True,38.55,collision_count,8.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
105,CNV-INT-0077,E 2ND ST / ST. ANDREWS AVE,Lower Lonsdale,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
106,CNV-INT-0012,E 3RD ST / HEYWOOD ST,Moodyville,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
107,CNV-INT-0406,CHESTERFIELD AVE / W 21ST ST,Central Lonsdale,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
108,CNV-INT-0408,CHESTERFIELD AVE / W 22ND ST,Central Lonsdale,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
109,CNV-INT-0051,E 7TH ST / QUEENSBURY AVE,Moodyville,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
110,CNV-INT-0466,W 22ND ST / WESTVIEW DR,Mahon,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
111,CNV-INT-0286,SEMISCH AVE / W 1ST ST,Lower Lonsdale,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
112,CNV-INT-0323,BEWICKE AVE / COPPING ST,Marine-Hamilton,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
113,CNV-INT-0292,CHESTERFIELD AVE / W 4TH ST,Lower Lonsdale,7.0,True,41.98,collision_count,7.0,Derived; see DATA_SOURCES.md for each contributing layer,"ICBC crash counts name-matched to CNV intersections. Intersections without a match are unknown, not zero."
