rank,intersection_id,street_names,neighbourhood,road_classes,road_class_weight,nearest_traffic_volume,traffic_volume_available,signalised,full_signal,road_hierarchy_score,metric,value,source,methodology_note
19,CNV-INT-0253,E 26TH ST / LONSDALE AVE,Central Lonsdale,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
20,CNV-INT-0288,FORBES AVE / W ESPLANADE,Squamish Nation (Mission IR 1),Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
21,CNV-INT-0296,FORBES AVE / W 1ST ST,Squamish Nation (Mission IR 1),Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
22,CNV-INT-0298,FORBES AVE / W 2ND ST,Squamish Nation (Mission IR 1),Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
23,CNV-INT-0301,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
24,CNV-INT-0302,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
25,CNV-INT-0321,FORBES AVE / W 1ST ST,Squamish Nation (Mission IR 1),Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
26,CNV-INT-0331,FELL AVE / W 1ST ST / W 2ND ST,Marine-Hamilton,Major / collector,0.85,503.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
27,CNV-INT-0332,DONAGHY AVE / W 1ST ST,Marine-Hamilton,Major / local,0.85,1125.0,True,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
28,CNV-INT-0263,E ESPLANADE / ST. GEORGES AVE,Lower Lonsdale,Major / Minor / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
29,CNV-INT-0001,BROOKSBANK AVE / COTTON RD,Moodyville,Major / Minor / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
30,CNV-INT-0002,LOW LEVEL RD,Moodyville,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
31,CNV-INT-0165,BOULEVARD CRES / E 21ST ST / UPPER LEVELS RAMP,Grand Boulevard,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
32,CNV-INT-0130,E 12TH ST / E GRAND BLVD,Grand Boulevard,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
33,CNV-INT-0131,E 13TH ST / E GRAND BLVD,Grand Boulevard,Major / Minor,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
34,CNV-INT-0133,E 14TH ST / E GRAND BLVD,Grand Boulevard,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
35,CNV-INT-0136,E 15TH ST / E GRAND BLVD,Grand Boulevard,Major / collector / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
36,CNV-INT-0139,E 16TH ST / E GRAND BLVD,Grand Boulevard,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
37,CNV-INT-0146,E 17TH ST / E GRAND BLVD,Grand Boulevard,Major / collector / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
38,CNV-INT-0150,E 18TH ST / E GRAND BLVD,Grand Boulevard,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
39,CNV-INT-0164,BOULEVARD CRES / E 19TH ST / E GRAND BLVD,Grand Boulevard,Major / Minor / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
40,CNV-INT-0168,BOULEVARD CRES / SUTHERLAND AVE / UPPER LEVELS RAMP,Grand Boulevard,Major / collector / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
41,CNV-INT-0250,E 25TH ST / LONSDALE AVE / W 25TH ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
42,CNV-INT-0187,E 13TH ST / ST. GEORGES AVE,Central Lonsdale,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
43,CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,Major,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
44,CNV-INT-0206,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
45,CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,Major / collector,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
46,CNV-INT-0212,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
47,CNV-INT-0222,E 23RD ST / LONSDALE AVE / W 23RD ST,Central Lonsdale,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
48,CNV-INT-0226,E UPPER LEVELS HWY / LONSDALE AVE / UPPER LEVELS RAMP,Central Lonsdale,Major / ramp,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
49,CNV-INT-0341,MISSION RD / W 3RD ST,Squamish Nation (Mission IR 1),Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
50,CNV-INT-0333,FORBES AVE / W 3RD ST,Squamish Nation (Mission IR 1),Major / Minor / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
51,CNV-INT-0344,DELBRUCK AVE / W 3RD ST,Squamish Nation (Mission IR 1),Major / local,0.85,552.0,True,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
52,CNV-INT-0342,BEWICKE AVE / W 2ND ST,Marine-Hamilton,Major / collector,0.85,956.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
53,CNV-INT-0446,W 19TH ST / WESTVIEW DR,Mahon,Major / local,0.85,725.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
54,CNV-INT-0423,HAMILTON AVE / MARINE DR / W 16TH ST,Marine-Hamilton,Major / Minor,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
55,CNV-INT-0425,FELL AVE / W 16TH ST,Marine-Hamilton,Major / Minor,0.85,613.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
56,CNV-INT-0426,HAMILTON AVE / W 16TH ST,Marine-Hamilton,Major / collector,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
57,CNV-INT-0427,LARSON RD / W 16TH ST,Mahon,Major,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
58,CNV-INT-0428,MACKAY AVE / MARINE DR,Marine-Hamilton,Major / collector,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
59,CNV-INT-0429,MACKAY RD / MARINE DR,Marine-Hamilton,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
60,CNV-INT-0434,BEWICKE AVE / LARSON RD,Mahon,Major / collector / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
61,CNV-INT-0435,LARSON RD / W 17TH ST,Mahon,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
62,CNV-INT-0438,FIR ST / LARSON RD / WESTVIEW DR,Mahon,Major / Minor / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
63,CNV-INT-0448,W 20TH ST / WESTVIEW DR,Mahon,Major / local,0.85,725.0,True,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
64,CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
65,CNV-INT-0465,W 21ST ST / WESTVIEW DR,Mahon,Major / local,0.85,801.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
66,CNV-INT-0466,W 22ND ST / WESTVIEW DR,Mahon,Major / local,0.85,720.0,True,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
67,CNV-INT-0468,W 23RD ST / WESTVIEW DR,Mahon,Major / Minor / local,0.85,801.0,True,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
68,CNV-INT-0481,E 27TH ST / LONSDALE AVE / W 27TH ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
69,CNV-INT-0489,WESTVIEW DR,Mahon,Major / ramp,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
70,CNV-INT-0492,WESTVIEW DR,Westview,Major / ramp,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
71,CNV-INT-0496,WESTVIEW CRES / WESTVIEW DR,Westview,Major / strata,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
72,CNV-INT-0498,WESTVIEW DR / WESTVIEW PL,Westview,Major / strata,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
73,CNV-INT-0502,W 28TH ST / WESTVIEW DR,Westview,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
74,CNV-INT-0407,LONSDALE AVE / W 22ND ST,Central Lonsdale,Major / local,0.85,,False,False,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
75,CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
76,CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,Major / collector,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
77,CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,Major / local,0.85,,False,True,True,87.48,road_hierarchy_score,87.48,Derived; see DATA_SOURCES.md for each contributing layer,Road hierarchy only. Measured traffic volumes were removed from this score because they cover just 40 of 503 intersections; they are reported as the separate nearest_traffic_volume column. This is NOT a measured traffic ranking.
