source_id,organization,dataset,url,download_url,format,geographic_level,coverage,version,license,download_date,local_path,status,sha256,bytes,feature_count,notes
cnv_buildings,City of North Vancouver,Building footprints,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/5,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/5,GeoJSON,building,City of North Vancouver,,,2026-08-12T07:13:40+00:00,data/raw/cnv/cnv_buildings.geojson,cached,95b0b6076fb31cd66ec41679440b62acc3eb3433c1567e56586aeb88e57c618b,7417667,11834,"Footprints only: BUILDING_STATUS, BUILDING_NAME. No height/units/year - see cnv_highrise_buildings."
cnv_legal_parcels,City of North Vancouver,Legal parcels,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/2,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/2,GeoJSON,parcel,City of North Vancouver,,,2026-08-12T07:13:44+00:00,data/raw/cnv/cnv_legal_parcels.geojson,cached,ea25ad8aae860188ba0e634aa42c0685739c13af6e8dc5ee82b71b932c8ebf80,15846307,7208,
cnv_walkways,City of North Vancouver,Walkways,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/17,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/query_layers/MapServer/17,GeoJSON,walkway,City of North Vancouver,,,2026-08-12T07:13:44+00:00,data/raw/cnv/cnv_walkways.geojson,cached,77242b018f2a0dedfd0c31e132999cf6beaa966da10b6a4ccf040bdfb417ce09,1997656,2721,
cnv_highrise_buildings,City of North Vancouver,High Rise Buildings (>18 m),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/6,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/6,GeoJSON,building,City of North Vancouver,,,2026-08-12T07:07:17+00:00,data/raw/cnv/cnv_highrise_buildings.geojson,cached,bc27470dee3fa1a90a35218d91be54ac9a9eac7eb98b1c0ae485cd5ecd24b283,168464,107,"Carries BUILDING_Z (height), YearBuilt, NosUnits, Occupancy, StrataUnitArea, CivicAddress. The only CNV building layer with unit counts and heights."
cnv_affordable_housing,City of North Vancouver,Affordable Housing,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/73,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/73,GeoJSON,building,City of North Vancouver,,,2026-08-12T07:14:12+00:00,data/raw/cnv/cnv_affordable_housing.geojson,cached,6abc5d32810fee18dc11b1605d16e29a5a19da3b24803d4c6315be604c10289d,59943,59,"Type, Tenure_Type, Eligibility, Operator_Developer, Total_Units, Status. The Eligibility/Type fields are the authoritative municipal basis for identifying seniors housing - preferred over OpenStreetMap inference."
cnv_population_by_parcel_2021,City of North Vancouver,2021 Population by Parcel (modelled),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/11,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/11,GeoJSON,parcel,City of North Vancouver,,,2026-08-12T07:14:15+00:00,data/raw/cnv/cnv_population_by_parcel_2021.geojson,cached,f1daabdac9068043b0ec17bd8ff008018c53d4374316456efaec85a13fc17324,14726099,7185,CNV-modelled parcel-level population disaggregated from census blocks (SUM_NumUnits_byCensusBlk). NOT a Statistics Canada product. Treat as a municipal estimate and never as a census count.
cnv_zoning,City of North Vancouver,Zoning boundaries,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/93,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/93,GeoJSON,zone,City of North Vancouver,,,2026-08-12T07:14:16+00:00,data/raw/cnv/cnv_zoning.geojson,cached,e489b104b79521c7e8c5c9eccb916ef854fecad5698bd7659b441e6a18d9e6c7,1033164,683,Vector equivalent of CNV_GenZoning48x36.pdf.
cnv_ocp_landuse,City of North Vancouver,2014 OCP Land Use,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/31,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/31,GeoJSON,land_use_polygon,City of North Vancouver,,,2026-08-12T07:14:16+00:00,data/raw/cnv/cnv_ocp_landuse.geojson,cached,37dea63099f726280ad624badf6b55073ab21b43190a3c9f9ca4176a024e3e65,823711,609,Vector equivalent of Schedule A Land Use PDF. Feeds the commercial land-use component of the pedestrian proxy.
cnv_dissemination_blocks,City of North Vancouver (Statistics Canada source data),Dissemination Block population 2021/2016,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/14,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/14,GeoJSON,dissemination_block,City of North Vancouver,,,2026-08-12T07:14:16+00:00,data/raw/cnv/cnv_dissemination_blocks.geojson,cached,4355d9bfc660d730dc6a2350a6e2812862b98f613f61c2022c3c72732156cd37,78827,122,Cross-check layer only. StatCan remains the primary census source.
cnv_db_population_2021,City of North Vancouver (Statistics Canada source data),2021 Population by Dissemination Block,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/9,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/9,GeoJSON,dissemination_block,City of North Vancouver and immediate surroundings,,,2026-08-12T07:14:16+00:00,data/raw/cnv/cnv_db_population_2021.geojson,cached,262a99a8a29c7a2c891689dce210c5b846b446634582dee16463395d0bb74556,200225,302,"DBpop_2021, DBtdwell_2021, DBurdwell_2021 with DBcode/DAcode/CTcode keys."
cnv_road_designation,City of North Vancouver,Road Designation / Major Road Network,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/48,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/48,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:17+00:00,data/raw/cnv/cnv_road_designation.geojson,cached,b45497916f60296d060d0c956b0974920dfc17dc32eb44b08a0c25a08b27dcf9,66973,230,DESIGNATION (arterial/collector/local) and MRN flag.
cnv_road_classifications,City of North Vancouver,Road Classifications,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/127,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/127,GeoJSON,road_polygon,City of North Vancouver,,,2026-08-12T07:24:59+00:00,data/raw/cnv/cnv_road_classifications.geojson,cached,e25d12818e2f8c147e56d6cdafc7614b4af9c61d4b1ef087672600e93ff0ebee,2053185,507,
cnv_traffic_signals,City of North Vancouver,Traffic Signals (asset inventory),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/153,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/153,GeoJSON,point_asset,City of North Vancouver,,,2026-08-12T07:14:36+00:00,data/raw/cnv/cnv_traffic_signals.geojson,cached,65d466f0a48eeffb46b5c3ceaf103cd768498b9e4e9102a170dec7986f89d56a,675809,587,"Signal POLE/asset inventory (UNITTYPE, POLE_TYPE, INSTALL_DATE, ADDRESS), not one record per signalised intersection. Must be clustered to intersections before use. Contains NO signal cycle/phase timing - see DATA_GAPS.md."
cnv_traffic_signs,City of North Vancouver,Traffic Signs,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/152,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/152,GeoJSON,point_asset,City of North Vancouver,,,2026-08-12T07:14:36+00:00,data/raw/cnv/cnv_traffic_signs.geojson,cached,5cdd51ac3103562a3d9e956e378a899d9cbc3fac0f17d5255e70f1c53907472b,864242,1093,
cnv_speed_zones,City of North Vancouver,Speed Zones,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/149,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/149,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/cnv/cnv_speed_zones.geojson,cached,bb3d6d35dd75c03dd09441273599bc26a32d4cf155e95b56c0fa7eb49c7d67d5,51115,120,"SPEED_ZONE, BYLAW_NO, INSTALL_DATE. Feeds the safety/visibility component."
cnv_one_way_streets,City of North Vancouver,One Way Streets,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/148,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/148,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/cnv/cnv_one_way_streets.geojson,cached,831f662ae2ca0182d0db53d9ae654082670fe0d6317a8ffa11c3e46f27c3d3d5,18663,35,
cnv_traffic_calming,City of North Vancouver,Traffic Calming,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/151,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/151,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/cnv/cnv_traffic_calming.geojson,cached,6f8dbc92c8bf869003b12fb02f5463b8d3a003536c4cb168b318774a4dbabe9c,881661,786,
cnv_truck_routes,City of North Vancouver,Truck Routes,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/154,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/154,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/cnv/cnv_truck_routes.geojson,cached,32109e5e478f8488539064dcd3e7b32dc77839fe91f34ffe8291f3ba5b820303,7324,11,
cnv_traffic_volume_northbound,City of North Vancouver,Traffic Volumes - Northbound,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/226,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/226,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/traffic/cnv_traffic_volume_northbound.geojson,cached,ef7b66c6e021564ace8bcb45d931db041d78daee17e769bc98974c8205129ef2,3767,11,Only 11 segments. Directional volumes exist for a very small subset of streets.
cnv_traffic_volume_southbound,City of North Vancouver,Traffic Volumes - Southbound,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/227,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/227,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:37+00:00,data/raw/traffic/cnv_traffic_volume_southbound.geojson,cached,d4ad494f8d9cfc7d346aa79aca89da91164846367e5ce5b1d2e6097dff16fed1,3664,11,
cnv_traffic_volume_eastbound,City of North Vancouver,Traffic Volumes - Eastbound,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/228,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/228,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:38+00:00,data/raw/traffic/cnv_traffic_volume_eastbound.geojson,cached,dae295ed748e0f354d44f3921411a9655d0de6145375a9b108d3251e8bc88817,4128,8,
cnv_traffic_volume_westbound,City of North Vancouver,Traffic Volumes - Westbound,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/229,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/229,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:38+00:00,data/raw/traffic/cnv_traffic_volume_westbound.geojson,cached,28c28963aafa9928e5f2a7d8eef6b20cd47edce48f4f79a3962361d2afe93a4d,4140,8,
cnv_cyclist_volume,City of North Vancouver,Cyclist Volume by street segment,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/26,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/26,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:38+00:00,data/raw/traffic/cnv_cyclist_volume.geojson,cached,14e973591cc3be29c97795979cc828c49097bc4044bb6dd57bef88613c05a66a,5162,10,
cnv_sidewalk_segments,City of North Vancouver,Sidewalk Segments,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/130,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/130,GeoJSON,sidewalk_segment,City of North Vancouver,,,2026-08-12T07:14:38+00:00,data/raw/cnv/cnv_sidewalk_segments.geojson,cached,ddbd958d2c61ebf803b2ac8c87288a51365e688a48124a206d35b8443b5c34fd,2118260,1867,"Includes a PEDESTRIAN_TRAFFIC attribute. Verify during processing whether this is an observed count or a qualitative class; if qualitative it belongs in the pedestrian PROXY, not in an observed-count field."
cnv_sidewalk_ramps,City of North Vancouver,Sidewalk Ramps,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/129,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/129,GeoJSON,point_asset,City of North Vancouver,,,2026-08-12T07:14:39+00:00,data/raw/cnv/cnv_sidewalk_ramps.geojson,cached,4a1c03f1d8184025d276339311a723926fc3b6a39f58b019b43617884608fa9d,803022,2613,Accessibility indicator and a marker of built-out pedestrian crossings.
cnv_missing_sidewalks,City of North Vancouver,Missing Sidewalks,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/69,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/69,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:39+00:00,data/raw/cnv/cnv_missing_sidewalks.geojson,cached,70f0cbf4ec2ef29d78a4b472c987b3051b19993448e653d2bdc5497a8b09bcfe,247960,385,
cnv_pedestrian_areas,City of North Vancouver,Pedestrian Areas,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/70,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/70,GeoJSON,area,City of North Vancouver,,,2026-08-12T07:14:39+00:00,data/raw/cnv/cnv_pedestrian_areas.geojson,cached,9b378cb33de4d28f0385f450dabed63e797ea5a7e6fb9ce7dddca3e1b0d0a08b,122490,18,
cnv_school_routes,City of North Vancouver,School Routes,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/71,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/71,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:39+00:00,data/raw/cnv/cnv_school_routes.geojson,cached,14fa40f8ca8db1137c425e4e50503b5f34e251600d523fb04597cfc0ce3a78b0,60884,44,
cnv_bike_routes_existing,City of North Vancouver,Bike Routes (Existing),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/22,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/22,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:40+00:00,data/raw/cnv/cnv_bike_routes_existing.geojson,cached,335515ff2d0284ce3c078c22764ac3170f8750c3ad2d964fdc635054b393a289,189081,199,
cnv_parking_occupancy,City of North Vancouver,On-street parking supply and observed occupancy by time period,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/55,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/55,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:40+00:00,data/raw/parking/cnv_parking_occupancy.geojson,cached,ac720e5c5887640ff8447e678e7c6caa9d1f71e98fe37f981c290b6378d9a664,650511,1169,"Carries Supply plus occupancy for eight observed periods (Weekday_07/08/11/12/16/17/21/22, Weekend_07/09 ...). These are OBSERVED SURVEY counts from a parking study, NOT a real-time availability feed. Survey date must be established before publication."
cnv_parking_zones,City of North Vancouver,Parking Zones (on-street restrictions),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/64,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/64,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:41+00:00,data/raw/parking/cnv_parking_zones.geojson,cached,7a7e780baef00c3555a8a2482a577857da20521d36b9b19282b2225d3fbe05ca,3468158,5981,"SIGNTYPE, PARKING_TYPE, SUPPLY, PARKING_TIME, RESTRICTIONS, NEIGHBOURHOOD."
cnv_parking_offstreet_lots,City of North Vancouver,Off Street Parking Lots,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/62,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/62,GeoJSON,point,City of North Vancouver,,,2026-08-12T07:14:41+00:00,data/raw/parking/cnv_parking_offstreet_lots.geojson,cached,dc766b45f8c68a899b53e47cc42e104c4dd362f4c40e6f3d2ba9e90907ad752b,14345,28,"SPACES_WEEKDAY, SPACES_WEEKNIGHT_WKND, ACCESSIBLE_PARKING_SPACES, EV_PARKING_SPACES, Operator."
cnv_parking_signs,City of North Vancouver,Parking Signs,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/63,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/63,GeoJSON,point_asset,City of North Vancouver,,,2026-08-12T07:14:42+00:00,data/raw/parking/cnv_parking_signs.geojson,cached,b63b9d71f5579183f4ee88304b32dfd0b07da0204b36fe4cd71e207e359e1e29,1137077,2580,
cnv_loading_zones,City of North Vancouver,Loading Zones,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/61,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/61,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:42+00:00,data/raw/parking/cnv_loading_zones.geojson,cached,c51e1715b1d7478b533f611a766f43c69d8b9d2ddf383d950b084034b2f02e83,50258,138,
cnv_car_share_parking,City of North Vancouver,Car Share Parking,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/60,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/60,GeoJSON,point,City of North Vancouver,,,2026-08-12T07:14:42+00:00,data/raw/parking/cnv_car_share_parking.geojson,cached,04be627fb811723d04b66dc1f07a598d6370d21a5650fc77b9217c70917bbc21,12478,32,
cnv_pay_parking_onstreet,City of North Vancouver,Pay Parking - On Street,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/3,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/3,GeoJSON,street_segment,City of North Vancouver,,,2026-08-12T07:14:45+00:00,data/raw/parking/cnv_pay_parking_onstreet.geojson,cached,db57e7ef7d3d54ddff1ae74a7840eb932b6d3d14c498afaeebc8ee2f37244830,98250,223,
cnv_pay_parking_offstreet,City of North Vancouver,Pay Parking - Off Street,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/2,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/2,GeoJSON,polygon,City of North Vancouver,,,2026-08-12T07:14:45+00:00,data/raw/parking/cnv_pay_parking_offstreet.geojson,cached,dc766b45f8c68a899b53e47cc42e104c4dd362f4c40e6f3d2ba9e90907ad752b,14345,28,
cnv_pay_stations,City of North Vancouver,Pay Stations,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/1,https://gisext2.cnv.org/arcgis/rest/services/Applications/pparking/MapServer/1,GeoJSON,point,City of North Vancouver,,,2026-08-12T07:14:45+00:00,data/raw/parking/cnv_pay_stations.geojson,cached,7a79f079a983ec3efdc5a268e14697cd15b2b62d9918bee6fe1fe89b917c262e,11694,42,
cnv_accessible_parking,City of North Vancouver,Accessible (disabled) parking spots,https://gisext2.cnv.org/arcgis/rest/services/Applications/accessibleparking/MapServer/0,https://gisext2.cnv.org/arcgis/rest/services/Applications/accessibleparking/MapServer/0,GeoJSON,point,City of North Vancouver,,,2026-08-12T07:14:47+00:00,data/raw/parking/cnv_accessible_parking.geojson,cached,a9b6fc2a7729bd300602304e196f004bc1ac5e88a5a2e9ab5d092a9c0288a9bd,66237,158,
cnv_resident_permit_parking_zones,City of North Vancouver,Resident Permit Parking Zones,https://gisext2.cnv.org/arcgis/rest/services/Applications/ResidentPermitParking/MapServer/1,https://gisext2.cnv.org/arcgis/rest/services/Applications/ResidentPermitParking/MapServer/1,GeoJSON,zone,City of North Vancouver,,,2026-08-12T07:14:49+00:00,data/raw/parking/cnv_resident_permit_zones.geojson,cached,14c519ff11866f54bd9a55481b830447b245fdf99bcf0236251f9691a6293ab9,16149,14,
cnv_bus_stops,City of North Vancouver,Bus Stops (municipal asset layer),https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/108,https://gisext2.cnv.org/arcgis/rest/services/BaseMapServices/TransportMAP/MapServer/108,GeoJSON,point,City of North Vancouver,,,2026-08-12T07:14:49+00:00,data/raw/cnv/cnv_bus_stops.geojson,cached,81fa0745a1e04708c756f3aa309516a86fb0a42cc5da51d088da719626b9ecf5,67279,183,Municipal view with STOPID and BUS_NUM. TransLink GTFS is the authoritative service-frequency source.
