rank,feature_id,feature_name,metric,value,source,methodology_note
29,59153970,DA 59153970,population_density,10975.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
30,59150083,DA 59150083,population_density,10900.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
31,59150074,DA 59150074,population_density,9942.86,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
32,59150196,DA 59150196,population_density,9400.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
33,59150094,DA 59150094,population_density,8587.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
34,59150184,DA 59150184,population_density,8325.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
35,59150195,DA 59150195,population_density,8166.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
36,59153238,DA 59153238,population_density,7716.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
37,59150089,DA 59150089,population_density,7575.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
38,59150185,DA 59150185,population_density,7354.55,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
39,59150201,DA 59150201,population_density,7212.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
40,59153965,DA 59153965,population_density,6300.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
41,59150176,DA 59150176,population_density,6036.36,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
42,59150093,DA 59150093,population_density,5930.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
43,59150099,DA 59150099,population_density,5810.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
44,59150204,DA 59150204,population_density,5685.71,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
45,59150090,DA 59150090,population_density,5650.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
46,59150140,DA 59150140,population_density,5533.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
47,59150079,DA 59150079,population_density,5170.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
48,59153963,DA 59153963,population_density,5080.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
49,59150080,DA 59150080,population_density,4914.29,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
50,59150141,DA 59150141,population_density,4853.57,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
51,59150183,DA 59150183,population_density,4775.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
52,59150081,DA 59150081,population_density,4646.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
53,59150146,DA 59150146,population_density,4645.45,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
54,59150202,DA 59150202,population_density,4633.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
55,59150097,DA 59150097,population_density,4443.75,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
56,59151761,DA 59151761,population_density,4192.31,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
57,59150077,DA 59150077,population_density,4145.45,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
58,59150095,DA 59150095,population_density,4076.92,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
59,59150098,DA 59150098,population_density,3900.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
60,59150073,DA 59150073,population_density,3880.77,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
61,59150203,DA 59150203,population_density,3876.47,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
62,59150213,DA 59150213,population_density,3868.75,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
63,59150143,DA 59150143,population_density,3823.08,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
64,59150180,DA 59150180,population_density,3621.43,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
65,59150096,DA 59150096,population_density,3347.06,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
66,59150205,DA 59150205,population_density,3163.16,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
67,59150181,DA 59150181,population_density,3100.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
68,59150145,DA 59150145,population_density,3085.19,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
69,59150142,DA 59150142,population_density,2905.56,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
70,59153241,DA 59153241,population_density,2846.59,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
71,59150210,DA 59150210,population_density,2741.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
72,59150206,DA 59150206,population_density,1983.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
73,59150075,DA 59150075,population_density,1940.91,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
74,59150182,DA 59150182,population_density,1862.22,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
75,59150076,DA 59150076,population_density,1624.24,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
76,59150178,DA 59150178,population_density,1547.06,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
77,59150078,DA 59150078,population_density,1502.08,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
78,59150200,DA 59150200,population_density,941.86,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
79,59150212,DA 59150212,population_density,776.6,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
1,59153235,DA 59153235,adult_population_density,23100.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
2,59153328,DA 59153328,adult_population_density,22340.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
3,59153327,DA 59153327,adult_population_density,21183.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
4,59150191,DA 59150191,adult_population_density,20533.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
5,59150190,DA 59150190,adult_population_density,18500.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
6,59150194,DA 59150194,adult_population_density,17566.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
7,59150193,DA 59150193,adult_population_density,17366.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
8,59150085,DA 59150085,adult_population_density,16520.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
9,59150084,DA 59150084,adult_population_density,16480.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
10,59150197,DA 59150197,adult_population_density,16266.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
11,59150192,DA 59150192,adult_population_density,15633.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
12,59153971,DA 59153971,adult_population_density,15000.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
13,59153239,DA 59153239,adult_population_density,14840.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
14,59150188,DA 59150188,adult_population_density,14566.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
15,59153234,DA 59153234,adult_population_density,14000.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
16,59150091,DA 59150091,adult_population_density,13780.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
17,59153236,DA 59153236,adult_population_density,13300.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
18,59150087,DA 59150087,adult_population_density,13266.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
19,59153237,DA 59153237,adult_population_density,13216.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
20,59150086,DA 59150086,adult_population_density,13180.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
21,59150198,DA 59150198,adult_population_density,13040.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
22,59150189,DA 59150189,adult_population_density,12675.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
23,59150186,DA 59150186,adult_population_density,11920.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
24,59150187,DA 59150187,adult_population_density,11677.78,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
25,59150082,DA 59150082,adult_population_density,11640.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
26,59150092,DA 59150092,adult_population_density,10920.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
27,59150088,DA 59150088,adult_population_density,10866.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
28,59150199,DA 59150199,adult_population_density,10520.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
29,59153970,DA 59153970,adult_population_density,10155.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
30,59150083,DA 59150083,adult_population_density,8960.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
31,59150196,DA 59150196,adult_population_density,7783.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
32,59150074,DA 59150074,adult_population_density,7657.14,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
33,59150184,DA 59150184,adult_population_density,7487.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
34,59150094,DA 59150094,adult_population_density,7300.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
35,59150195,DA 59150195,adult_population_density,6688.89,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
36,59153238,DA 59153238,adult_population_density,6266.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
37,59150089,DA 59150089,adult_population_density,6087.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
38,59150185,DA 59150185,adult_population_density,6009.09,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
39,59150201,DA 59150201,adult_population_density,5862.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
40,59153965,DA 59153965,adult_population_density,5816.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
41,59150093,DA 59150093,adult_population_density,4920.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
42,59150204,DA 59150204,adult_population_density,4671.43,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
43,59150140,DA 59150140,adult_population_density,4622.22,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
44,59150099,DA 59150099,adult_population_density,4570.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
45,59150090,DA 59150090,adult_population_density,4530.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
46,59150079,DA 59150079,adult_population_density,4380.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
47,59153963,DA 59153963,adult_population_density,4250.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
48,59150176,DA 59150176,adult_population_density,4200.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
49,59150080,DA 59150080,adult_population_density,4171.43,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
50,59150141,DA 59150141,adult_population_density,4146.43,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
51,59150081,DA 59150081,adult_population_density,3800.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
52,59150146,DA 59150146,adult_population_density,3800.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
53,59150202,DA 59150202,adult_population_density,3694.44,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
54,59150183,DA 59150183,adult_population_density,3650.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
55,59150097,DA 59150097,adult_population_density,3456.25,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
56,59150095,DA 59150095,adult_population_density,3238.46,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
57,59151761,DA 59151761,adult_population_density,3200.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
58,59150213,DA 59150213,adult_population_density,3175.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
59,59150203,DA 59150203,adult_population_density,3135.29,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
60,59150077,DA 59150077,adult_population_density,3118.18,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
61,59150073,DA 59150073,adult_population_density,3092.31,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
62,59150098,DA 59150098,adult_population_density,3054.55,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
63,59150143,DA 59150143,adult_population_density,3053.85,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
64,59150180,DA 59150180,adult_population_density,2771.43,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
65,59150096,DA 59150096,adult_population_density,2770.59,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
66,59150145,DA 59150145,adult_population_density,2466.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
67,59150205,DA 59150205,adult_population_density,2457.89,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
68,59150181,DA 59150181,adult_population_density,2435.29,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
69,59153241,DA 59153241,adult_population_density,2372.73,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
70,59150142,DA 59150142,adult_population_density,2338.89,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
71,59150210,DA 59150210,adult_population_density,2258.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
72,59150206,DA 59150206,adult_population_density,1586.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
73,59150075,DA 59150075,adult_population_density,1545.45,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
74,59150182,DA 59150182,adult_population_density,1460.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
75,59150076,DA 59150076,adult_population_density,1266.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
76,59150178,DA 59150178,adult_population_density,1217.65,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
77,59150078,DA 59150078,adult_population_density,1162.5,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
78,59150200,DA 59150200,adult_population_density,778.29,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
79,59150212,DA 59150212,adult_population_density,634.04,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
1,59150084,DA 59150084,senior_density,6600.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
2,59153235,DA 59153235,senior_density,6416.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
3,59150188,DA 59150188,senior_density,6333.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
4,59150085,DA 59150085,senior_density,5600.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
5,59153234,DA 59153234,senior_density,4750.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
6,59153327,DA 59153327,senior_density,4416.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
7,59150197,DA 59150197,senior_density,4166.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
8,59153328,DA 59153328,senior_density,4000.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
9,59150193,DA 59150193,senior_density,3666.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
10,59150194,DA 59150194,senior_density,3333.33,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
11,59153965,DA 59153965,senior_density,3250.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
12,59150190,DA 59150190,senior_density,3166.67,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
13,59150189,DA 59150189,senior_density,3125.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas",Directly from the 2021 Census Profile for that dissemination area.
