rank,intersection_id,street_names,neighbourhood,transit_stops_100m,transit_stops_250m,transit_stops_400m,transit_departures_250m,transit_departures_am_peak_250m,transit_score,metric,value,source,methodology_note
11,CNV-INT-0277,CHESTERFIELD AVE / W ESPLANADE,Lower Lonsdale,3,16,31,1080.0,127.0,97.29,transit_score,97.29,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
12,CNV-INT-0192,E 15TH ST / EASTERN AVE,Central Lonsdale,1,7,13,1071.0,153.0,96.02,transit_score,96.02,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
13,CNV-INT-0383,E 14TH ST / LONSDALE AVE,Central Lonsdale,2,7,12,1072.0,141.0,95.83,transit_score,95.83,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
14,CNV-INT-0385,E 15TH ST / LONSDALE AVE / W 15TH ST,Central Lonsdale,4,7,11,1033.0,146.0,95.32,transit_score,95.32,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
15,CNV-INT-0147,E 16TH ST / W GRAND BLVD,Grand Boulevard,0,8,13,994.0,139.0,95.23,transit_score,95.23,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
16,CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,4,9,23,957.0,119.0,95.09,transit_score,95.09,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
17,CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,2,7,13,1001.0,143.0,95.07,transit_score,95.07,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
18,CNV-INT-0279,CHESTERFIELD AVE / W 1ST ST,Lower Lonsdale,2,13,33,938.0,112.0,94.77,transit_score,94.77,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
19,CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,2,9,19,952.0,116.0,94.74,transit_score,94.74,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
20,CNV-INT-0365,MOSQUITO CREEK LANE / W 15TH ST,Marine-Hamilton,0,6,10,1088.0,145.0,94.73,transit_score,94.73,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
21,CNV-INT-0137,E 15TH ST / W GRAND BLVD,Grand Boulevard,4,8,11,948.0,129.0,94.52,transit_score,94.52,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
22,CNV-INT-0270,E 1ST ST / LONSDALE AVE / W 1ST ST,Lower Lonsdale,2,8,32,954.0,116.0,94.38,transit_score,94.38,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
23,CNV-INT-0364,MARINE DR / W 15TH ST,Marine-Hamilton,1,5,8,1265.0,173.0,94.0,transit_score,94.0,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
24,CNV-INT-0359,MARINE DR / W 14TH ST,Marine-Hamilton,3,6,11,1045.0,141.0,93.9,transit_score,93.9,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
25,CNV-INT-0360,FELL AVE / MARINE DR,Marine-Hamilton,2,5,11,1204.0,161.0,93.71,transit_score,93.71,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
26,CNV-INT-0422,FELL AVE / W 15TH ST,Marine-Hamilton,1,5,11,1204.0,161.0,93.71,transit_score,93.71,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
27,CNV-INT-0346,BEWICKE AVE / MARINE DR / W 3RD ST / W KEITH RD,Marine-Hamilton,2,7,13,834.0,122.0,92.92,transit_score,92.92,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
28,CNV-INT-0429,MACKAY RD / MARINE DR,Marine-Hamilton,2,6,12,899.0,133.0,92.18,transit_score,92.18,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
29,CNV-INT-0381,MAHON AVE / W 14TH ST,Central Lonsdale,0,7,8,748.0,147.0,92.12,transit_score,92.12,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
30,CNV-INT-0136,E 15TH ST / E GRAND BLVD,Grand Boulevard,4,7,10,803.0,110.0,91.98,transit_score,91.98,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
31,CNV-INT-0423,HAMILTON AVE / MARINE DR / W 16TH ST,Marine-Hamilton,1,5,9,1046.0,146.0,91.92,transit_score,91.92,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
32,CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,2,6,11,854.0,132.0,91.76,transit_score,91.76,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
33,CNV-INT-0362,MOSQUITO CREEK LANE / W 14TH ST,Marine-Hamilton,1,5,12,1040.0,137.0,91.25,transit_score,91.25,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
34,CNV-INT-0355,BEWICKE AVE / W 14TH ST,Marine-Hamilton,1,6,13,829.0,122.0,91.23,transit_score,91.23,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
35,CNV-INT-0372,FORBES AVE / W 6TH ST,Squamish Nation (Mission IR 1),0,7,13,737.0,114.0,90.91,transit_score,90.91,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
36,CNV-INT-0424,CHURCHILL CRES / MACKAY RD,Marine-Hamilton,0,5,10,1000.0,136.0,90.85,transit_score,90.85,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
37,CNV-INT-0349,FELL AVE / W 3RD ST,Marine-Hamilton,0,5,9,997.0,133.0,90.66,transit_score,90.66,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
38,CNV-INT-0386,CHESTERFIELD AVE / W 15TH ST,Central Lonsdale,2,6,12,768.0,119.0,90.41,transit_score,90.41,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
39,CNV-INT-0335,FORBES AVE / W 4TH ST,Squamish Nation (Mission IR 1),0,7,15,736.0,102.0,90.34,transit_score,90.34,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
40,CNV-INT-0388,CHESTERFIELD AVE / W 16TH ST,Central Lonsdale,0,6,12,729.0,124.0,89.5,transit_score,89.5,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
41,CNV-INT-0148,E 17TH ST / W GRAND BLVD,Grand Boulevard,2,6,10,749.0,104.0,89.45,transit_score,89.45,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
42,CNV-INT-0146,E 17TH ST / E GRAND BLVD,Grand Boulevard,2,6,10,749.0,104.0,89.45,transit_score,89.45,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
43,CNV-INT-0059,E 8TH ST / E GRAND BLVD,Grand Boulevard,2,9,15,715.0,80.0,89.43,transit_score,89.43,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
44,CNV-INT-0058,E 8TH ST / SUTHERLAND AVE,,0,8,14,710.0,80.0,88.72,transit_score,88.72,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
45,CNV-INT-0363,HANES AVE / MARINE DR,Marine-Hamilton,2,4,6,1045.0,146.0,88.61,transit_score,88.61,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
46,CNV-INT-0291,MAHON AVE / W 2ND ST,Lower Lonsdale,0,8,15,686.0,81.0,88.39,transit_score,88.39,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
47,CNV-INT-0342,BEWICKE AVE / W 2ND ST,Marine-Hamilton,2,6,13,727.0,98.0,88.26,transit_score,88.26,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
48,CNV-INT-0189,E 14TH ST / ST. GEORGES AVE,Central Lonsdale,0,5,10,809.0,106.0,88.17,transit_score,88.17,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
49,CNV-INT-0188,E 13TH ST / LONSDALE AVE / W 13TH ST,Central Lonsdale,2,5,12,807.0,108.0,88.15,transit_score,88.15,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
50,CNV-INT-0094,E 8TH ST / W GRAND BLVD,Grand Boulevard,0,9,14,665.0,75.0,87.97,transit_score,87.97,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
51,CNV-INT-0286,SEMISCH AVE / W 1ST ST,Lower Lonsdale,0,10,25,649.0,72.0,87.62,transit_score,87.62,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
52,CNV-INT-0190,E 15TH ST / ST. GEORGES AVE,Central Lonsdale,1,5,11,777.0,103.0,87.58,transit_score,87.58,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
53,CNV-INT-0138,E 16TH ST / SUTHERLAND AVE,Grand Boulevard,0,6,11,704.0,98.0,87.49,transit_score,87.49,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
54,CNV-INT-0139,E 16TH ST / E GRAND BLVD,Grand Boulevard,2,6,12,704.0,98.0,87.49,transit_score,87.49,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
55,CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,2,5,6,759.0,101.0,87.18,transit_score,87.18,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
56,CNV-INT-0215,E 21ST ST / EASTERN AVE,Central Lonsdale,0,5,6,759.0,101.0,87.18,transit_score,87.18,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
57,CNV-INT-0056,E KEITH RD / QUEENSBURY AVE,Moodyville,5,9,13,647.0,71.0,87.13,transit_score,87.13,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
58,CNV-INT-0057,E GRAND BLVD / E KEITH RD,Moodyville,4,9,14,647.0,71.0,87.13,transit_score,87.13,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
59,CNV-INT-0201,E 17TH ST / EASTERN AVE,Central Lonsdale,0,5,11,748.0,107.0,86.97,transit_score,86.97,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
60,CNV-INT-0356,FORBES AVE / W 14TH ST,Mahon,0,6,9,643.0,121.0,86.58,transit_score,86.58,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
61,CNV-INT-0191,E 15TH ST / ST. ANDREWS AVE,Central Lonsdale,2,5,5,728.0,109.0,86.51,transit_score,86.51,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
62,CNV-INT-0367,JONES AVE / W 14TH ST,Mahon,3,6,8,642.0,122.0,86.34,transit_score,86.34,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
63,CNV-INT-0131,E 13TH ST / E GRAND BLVD,Grand Boulevard,2,6,10,661.0,87.0,86.2,transit_score,86.2,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
64,CNV-INT-0132,E 13TH ST / W GRAND BLVD,Grand Boulevard,2,6,10,661.0,87.0,86.2,transit_score,86.2,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
65,CNV-INT-0036,E 7TH ST / SUTHERLAND AVE,Moodyville,0,8,13,643.0,68.0,86.14,transit_score,86.14,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
66,CNV-INT-0431,HAMILTON AVE / TOBRUCK AVE,Marine-Hamilton,0,4,7,887.0,117.0,86.11,transit_score,86.11,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
67,CNV-INT-0426,HAMILTON AVE / W 16TH ST,Marine-Hamilton,2,4,8,887.0,117.0,86.11,transit_score,86.11,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
68,CNV-INT-0135,E 15TH ST / SUTHERLAND AVE,Grand Boulevard,0,6,9,658.0,88.0,86.08,transit_score,86.08,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
69,CNV-INT-0282,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,2,6,20,682.0,81.0,86.08,transit_score,86.08,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
70,CNV-INT-0336,W 5TH ST / W 6TH ST,Lower Lonsdale,0,6,13,638.0,110.0,85.82,transit_score,85.82,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
71,CNV-INT-0283,E 6TH ST / LONSDALE AVE / W 6TH ST,Lower Lonsdale,1,6,13,681.0,75.0,85.67,transit_score,85.67,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
72,CNV-INT-0428,MACKAY AVE / MARINE DR,Marine-Hamilton,1,4,11,834.0,114.0,85.63,transit_score,85.63,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
73,CNV-INT-0354,DELBRUCK AVE / W KEITH RD,Marine-Hamilton,2,6,13,636.0,100.0,85.26,transit_score,85.26,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
74,CNV-INT-0357,BEWICKE AVE / W 15TH ST,Marine-Hamilton,0,5,11,705.0,93.0,85.17,transit_score,85.17,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
75,CNV-INT-0343,MISSION RD / W 4TH ST,Squamish Nation (Mission IR 1),2,6,14,629.0,98.0,84.92,transit_score,84.92,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
76,CNV-INT-0374,FORBES AVE / W 6TH ST,Squamish Nation (Mission IR 1),0,6,13,630.0,90.0,84.82,transit_score,84.82,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
77,CNV-INT-0345,W 2ND ST / W 3RD ST / W 6TH ST,Squamish Nation (Mission IR 1),1,8,11,587.0,88.0,84.69,transit_score,84.69,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
78,CNV-INT-0186,E 15TH ST / MOODY AVE,Grand Boulevard,2,5,13,678.0,99.0,84.66,transit_score,84.66,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
79,CNV-INT-0124,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,1,5,12,715.0,77.0,84.35,transit_score,84.35,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
80,CNV-INT-0306,W 12TH ST / W 8TH ST,Central Lonsdale,0,5,11,715.0,77.0,84.35,transit_score,84.35,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
81,CNV-INT-0054,E KEITH RD / W GRAND BLVD,Moodyville,3,9,14,594.0,66.0,83.72,transit_score,83.72,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
82,CNV-INT-0134,E 14TH ST / SUTHERLAND AVE,Grand Boulevard,0,6,10,612.0,81.0,83.46,transit_score,83.46,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
83,CNV-INT-0127,E 14TH ST / SUTHERLAND AVE,Grand Boulevard,0,6,10,612.0,81.0,83.46,transit_score,83.46,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
84,CNV-INT-0133,E 14TH ST / E GRAND BLVD,Grand Boulevard,2,6,12,612.0,81.0,83.46,transit_score,83.46,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
85,CNV-INT-0256,E 27TH ST / EASTERN AVE,Tempe,0,6,9,611.0,82.0,83.31,transit_score,83.31,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
86,CNV-INT-0380,CHESTERFIELD AVE / W 14TH ST,Central Lonsdale,0,5,11,611.0,102.0,82.11,transit_score,82.11,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
87,CNV-INT-0298,FORBES AVE / W 2ND ST,Squamish Nation (Mission IR 1),1,7,11,583.0,65.0,82.04,transit_score,82.04,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
88,CNV-INT-0287,CHESTERFIELD AVE / W 2ND ST,Lower Lonsdale,3,8,30,570.0,70.0,81.96,transit_score,81.96,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
89,CNV-INT-0432,MACKAY AVE / W 17TH ST,Marine-Hamilton,1,5,10,627.0,84.0,81.71,transit_score,81.71,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
90,CNV-INT-0361,HAMILTON AVE / MACKAY RD,Marine-Hamilton,0,3,9,781.0,111.0,81.52,transit_score,81.52,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
91,CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,1,6,8,597.0,63.0,80.92,transit_score,80.92,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
92,CNV-INT-0290,CHESTERFIELD AVE / W 3RD ST,Lower Lonsdale,4,8,21,520.0,66.0,80.32,transit_score,80.32,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
93,CNV-INT-0299,MAHON AVE / W 3RD ST,Lower Lonsdale,2,6,15,571.0,72.0,80.09,transit_score,80.09,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
94,CNV-INT-0289,MAHON AVE / W 1ST ST,Lower Lonsdale,1,7,16,543.0,56.0,79.8,transit_score,79.8,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
95,CNV-INT-0333,FORBES AVE / W 3RD ST,Squamish Nation (Mission IR 1),1,6,12,570.0,66.0,79.51,transit_score,79.51,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
96,CNV-INT-0297,SEMISCH AVE / W 3RD ST,Lower Lonsdale,2,7,17,514.0,68.0,79.32,transit_score,79.32,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
97,CNV-INT-0344,DELBRUCK AVE / W 3RD ST,Squamish Nation (Mission IR 1),2,6,15,534.0,76.0,79.15,transit_score,79.15,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
98,CNV-INT-0051,E 7TH ST / QUEENSBURY AVE,Moodyville,2,8,14,510.0,57.0,78.98,transit_score,78.98,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
99,CNV-INT-0301,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,3,6,10,560.0,62.0,78.81,transit_score,78.81,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
100,CNV-INT-0391,MAHON AVE / W 15TH ST,Central Lonsdale,2,5,8,534.0,107.0,78.56,transit_score,78.56,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
101,CNV-INT-0368,JONES AVE / W 15TH ST,Mahon,2,5,8,534.0,106.0,78.5,transit_score,78.5,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
102,CNV-INT-0353,FORBES AVE / W KEITH RD,Marine-Hamilton,2,5,12,537.0,96.0,78.4,transit_score,78.4,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
103,CNV-INT-0366,JONES AVE / W KEITH RD,Lower Lonsdale,2,5,9,536.0,97.0,78.31,transit_score,78.31,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
104,CNV-INT-0149,E 18TH ST / SUTHERLAND AVE,Grand Boulevard,0,4,7,603.0,85.0,77.94,transit_score,77.94,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
105,CNV-INT-0150,E 18TH ST / E GRAND BLVD,Grand Boulevard,2,4,8,603.0,85.0,77.94,transit_score,77.94,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
106,CNV-INT-0151,E 18TH ST / W GRAND BLVD,Grand Boulevard,0,4,10,603.0,85.0,77.94,transit_score,77.94,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
107,CNV-INT-0257,E 28TH ST / ST. GEORGES AVE,Tempe,2,6,10,524.0,60.0,77.82,transit_score,77.82,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
108,CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,2,4,7,602.0,85.0,77.46,transit_score,77.46,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
109,CNV-INT-0440,HAMILTON AVE / W 17TH ST,Marine-Hamilton,0,3,7,675.0,85.0,77.42,transit_score,77.42,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
110,CNV-INT-0217,E 22ND ST / EASTERN AVE,Central Lonsdale,0,4,6,602.0,84.0,77.27,transit_score,77.27,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
111,CNV-INT-0206,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,2,4,10,602.0,84.0,77.27,transit_score,77.27,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
112,CNV-INT-0212,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,2,4,8,602.0,84.0,77.27,transit_score,77.27,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
113,CNV-INT-0407,LONSDALE AVE / W 22ND ST,Central Lonsdale,3,4,6,602.0,84.0,77.27,transit_score,77.27,Derived; see DATA_SOURCES.md for each contributing layer,Scheduled weekday departures from the TransLink GTFS feed within 250 m.
