rank,intersection_id,street_names,neighbourhood,onstreet_supply_250m,onstreet_peak_occupancy_250m,offstreet_spaces_400m,pay_stations_250m,accessible_parking_250m,parking_access_score,metric,value,source,methodology_note
11,CNV-INT-0187,E 13TH ST / ST. GEORGES AVE,Central Lonsdale,620.0,0.643,1168.0,4,44,86.29,parking_access_score,86.29,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
12,CNV-INT-0381,MAHON AVE / W 14TH ST,Central Lonsdale,728.0,0.618,73.0,0,0,86.23,parking_access_score,86.23,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
13,CNV-INT-0192,E 15TH ST / EASTERN AVE,Central Lonsdale,649.0,0.682,1195.0,8,48,85.47,parking_access_score,85.47,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
14,CNV-INT-0383,E 14TH ST / LONSDALE AVE,Central Lonsdale,703.0,0.722,1215.0,9,31,85.08,parking_access_score,85.08,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
15,CNV-INT-0380,CHESTERFIELD AVE / W 14TH ST,Central Lonsdale,711.0,0.699,595.0,4,11,84.59,parking_access_score,84.59,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
16,CNV-INT-0377,W 13TH ST / W 8TH ST,Central Lonsdale,671.0,0.656,162.0,0,0,83.69,parking_access_score,83.69,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
17,CNV-INT-0379,MAHON AVE / W 13TH ST,Central Lonsdale,674.0,0.632,73.0,0,0,83.59,parking_access_score,83.59,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
18,CNV-INT-0304,W KEITH RD / W VICTORIA PARK AVE,Lower Lonsdale,717.0,0.729,653.0,3,8,83.23,parking_access_score,83.23,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
19,CNV-INT-0312,CHESTERFIELD AVE / W 8TH ST,Central Lonsdale,637.0,0.691,653.0,3,10,82.92,parking_access_score,82.92,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
20,CNV-INT-0119,E 11TH ST / ST. GEORGES AVE,Central Lonsdale,692.0,0.715,648.0,1,6,82.88,parking_access_score,82.88,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
21,CNV-INT-0122,E 12TH ST / ST. GEORGES AVE,Central Lonsdale,661.0,0.734,1095.0,3,20,82.43,parking_access_score,82.43,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
22,CNV-INT-0390,CHESTERFIELD AVE / W 17TH ST,Central Lonsdale,795.0,0.744,194.0,6,10,82.17,parking_access_score,82.17,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
23,CNV-INT-0124,E 12TH ST / LONSDALE AVE / W 12TH ST,Central Lonsdale,629.0,0.703,679.0,4,27,81.9,parking_access_score,81.9,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
24,CNV-INT-0386,CHESTERFIELD AVE / W 15TH ST,Central Lonsdale,708.0,0.724,226.0,6,11,81.85,parking_access_score,81.85,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
25,CNV-INT-0121,E 11TH ST / LONSDALE AVE / W 8TH ST,Lower Lonsdale,564.0,0.694,661.0,2,9,80.86,parking_access_score,80.86,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
26,CNV-INT-0388,CHESTERFIELD AVE / W 16TH ST,Central Lonsdale,756.0,0.77,226.0,6,8,80.67,parking_access_score,80.67,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
27,CNV-INT-0395,CHESTERFIELD AVE / W 19TH ST,Central Lonsdale,698.0,0.728,121.0,3,5,79.94,parking_access_score,79.94,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
28,CNV-INT-0191,E 15TH ST / ST. ANDREWS AVE,Central Lonsdale,346.0,0.585,907.0,2,28,79.9,parking_access_score,79.9,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
29,CNV-INT-0387,LONSDALE AVE / W 16TH ST,Central Lonsdale,730.0,0.819,1033.0,10,20,79.71,parking_access_score,79.71,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
30,CNV-INT-0182,E 13TH ST / ST. ANDREWS AVE,Central Lonsdale,381.0,0.64,983.0,3,28,79.2,parking_access_score,79.2,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
31,CNV-INT-0193,E 16TH ST / ST. GEORGES AVE,Central Lonsdale,669.0,0.793,1015.0,5,27,79.17,parking_access_score,79.17,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
32,CNV-INT-0406,CHESTERFIELD AVE / W 21ST ST,Central Lonsdale,648.0,0.673,9.0,1,1,78.52,parking_access_score,78.52,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
33,CNV-INT-0290,CHESTERFIELD AVE / W 3RD ST,Lower Lonsdale,652.0,0.747,352.0,3,5,78.26,parking_access_score,78.26,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
34,CNV-INT-0309,CHESTERFIELD AVE / W KEITH RD,Lower Lonsdale,622.0,0.731,185.0,0,0,77.97,parking_access_score,77.97,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
35,CNV-INT-0118,E 10TH ST / E 8TH ST,Lower Lonsdale,631.0,0.755,574.0,0,2,77.64,parking_access_score,77.64,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
36,CNV-INT-0408,CHESTERFIELD AVE / W 22ND ST,Central Lonsdale,441.0,0.584,9.0,0,0,77.1,parking_access_score,77.1,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
37,CNV-INT-0202,E 17TH ST / ST. GEORGES AVE,Central Lonsdale,706.0,0.812,554.0,3,7,76.87,parking_access_score,76.87,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
38,CNV-INT-0117,E 10TH ST / ST. GEORGES AVE,Central Lonsdale,622.0,0.781,574.0,0,2,76.52,parking_access_score,76.52,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
39,CNV-INT-0305,W KEITH RD / W VICTORIA PARK AVE,Lower Lonsdale,609.0,0.747,185.0,0,5,76.43,parking_access_score,76.43,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
40,CNV-INT-0195,E 14TH ST / ST. ANDREWS AVE,Central Lonsdale,369.0,0.698,983.0,3,28,76.04,parking_access_score,76.04,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
41,CNV-INT-0287,CHESTERFIELD AVE / W 2ND ST,Lower Lonsdale,545.0,0.743,555.0,5,20,75.98,parking_access_score,75.98,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
42,CNV-INT-0396,CHESTERFIELD AVE / W 20TH ST,Central Lonsdale,629.0,0.71,9.0,2,3,75.78,parking_access_score,75.78,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
43,CNV-INT-0394,CHESTERFIELD AVE / W 18TH ST,Central Lonsdale,659.0,0.789,121.0,4,6,75.51,parking_access_score,75.51,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
44,CNV-INT-0123,E 12TH ST / ST. ANDREWS AVE,Central Lonsdale,432.0,0.744,965.0,2,5,75.29,parking_access_score,75.29,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
45,CNV-INT-0402,MAHON AVE / W 20TH ST,Mahon,746.0,0.573,0.0,0,0,75.29,parking_access_score,75.29,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
46,CNV-INT-0215,E 21ST ST / EASTERN AVE,Central Lonsdale,719.0,0.784,9.0,3,2,75.06,parking_access_score,75.06,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
47,CNV-INT-0409,CHESTERFIELD AVE / W 23RD ST,Central Lonsdale,336.0,0.549,9.0,0,0,74.93,parking_access_score,74.93,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
48,CNV-INT-0275,CHADWICK CRT / CHESTERFIELD PL,Lower Lonsdale,6.0,0.0,716.0,0,30,74.77,parking_access_score,74.77,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
49,CNV-INT-0273,E 3RD ST / LONSDALE AVE / W 3RD ST,Lower Lonsdale,609.0,0.804,647.0,9,11,74.61,parking_access_score,74.61,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
50,CNV-INT-0400,MAHON AVE / W 19TH ST,Mahon,732.0,0.575,0.0,0,0,74.57,parking_access_score,74.57,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
51,CNV-INT-0393,MAHON AVE / W 17TH ST,Central Lonsdale,763.0,0.6,0.0,0,0,74.56,parking_access_score,74.56,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
52,CNV-INT-0398,MAHON AVE / W 18TH ST,Mahon,750.0,0.591,0.0,0,0,74.44,parking_access_score,74.44,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
53,CNV-INT-0389,E 17TH ST / LONSDALE AVE / W 17TH ST,Central Lonsdale,727.0,0.881,641.0,9,19,74.13,parking_access_score,74.13,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
54,CNV-INT-0120,E 11TH ST / ST. ANDREWS AVE,Central Lonsdale,451.0,0.72,158.0,0,1,74.08,parking_access_score,74.08,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
55,CNV-INT-0222,E 23RD ST / LONSDALE AVE / W 23RD ST,Central Lonsdale,337.0,0.583,9.0,2,1,73.89,parking_access_score,73.89,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
56,CNV-INT-0201,E 17TH ST / EASTERN AVE,Central Lonsdale,751.0,0.889,554.0,9,15,73.84,parking_access_score,73.84,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
57,CNV-INT-0261,E 3RD ST / ST. GEORGES AVE,Lower Lonsdale,637.0,0.817,463.0,6,5,73.78,parking_access_score,73.78,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
58,CNV-INT-0204,E 18TH ST / ST. GEORGES AVE,Central Lonsdale,742.0,0.884,545.0,4,6,73.76,parking_access_score,73.76,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
59,CNV-INT-0292,CHESTERFIELD AVE / W 4TH ST,Lower Lonsdale,639.0,0.773,32.0,1,4,73.7,parking_access_score,73.7,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
60,CNV-INT-0410,W 23RD ST / WESTERN AVE,Central Lonsdale,289.0,0.574,9.0,0,0,73.65,parking_access_score,73.65,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
61,CNV-INT-0405,E 21ST ST / LONSDALE AVE / W 21ST ST,Central Lonsdale,671.0,0.781,9.0,3,4,73.51,parking_access_score,73.51,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
62,CNV-INT-0106,E 8TH ST / ST. GEORGES AVE,Central Lonsdale,511.0,0.753,182.0,0,2,73.37,parking_access_score,73.37,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
63,CNV-INT-0105,E KEITH RD / E VICTORIA PARK AVE,Lower Lonsdale,634.0,0.798,98.0,0,3,73.34,parking_access_score,73.34,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
64,CNV-INT-0216,E 22ND ST / ST. GEORGES AVE,Central Lonsdale,530.0,0.709,9.0,2,1,73.24,parking_access_score,73.24,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
65,CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,737.0,0.872,130.0,6,8,73.16,parking_access_score,73.16,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
66,CNV-INT-0407,LONSDALE AVE / W 22ND ST,Central Lonsdale,429.0,0.669,9.0,2,1,72.77,parking_access_score,72.77,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
67,CNV-INT-0226,E UPPER LEVELS HWY / LONSDALE AVE / UPPER LEVELS RAMP,Central Lonsdale,93.0,0.402,9.0,0,0,72.72,parking_access_score,72.72,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
68,CNV-INT-0297,SEMISCH AVE / W 3RD ST,Lower Lonsdale,582.0,0.766,58.0,2,4,72.72,parking_access_score,72.72,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
69,CNV-INT-0027,E 3RD ST / RIDGEWAY AVE,Moodyville,618.0,0.516,0.0,0,0,72.63,parking_access_score,72.63,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
70,CNV-INT-0181,E 13TH ST / RIDGEWAY AVE,Central Lonsdale,62.0,0.436,74.0,1,1,72.36,parking_access_score,72.36,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
71,CNV-INT-0101,E KEITH RD / ST. GEORGES AVE,Lower Lonsdale,565.0,0.784,75.0,0,3,72.35,parking_access_score,72.35,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
72,CNV-INT-0303,W KEITH RD / W VICTORIA PARK AVE,Lower Lonsdale,681.0,0.839,98.0,0,4,72.35,parking_access_score,72.35,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
73,CNV-INT-0212,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,690.0,0.854,130.0,5,7,72.27,parking_access_score,72.27,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
74,CNV-INT-0279,CHESTERFIELD AVE / W 1ST ST,Lower Lonsdale,356.0,0.733,785.0,6,37,72.2,parking_access_score,72.2,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
75,CNV-INT-0194,E 16TH ST / ST. ANDREWS AVE,Central Lonsdale,332.0,0.715,628.0,1,23,72.2,parking_access_score,72.2,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
76,CNV-INT-0404,MAHON AVE / W 21ST ST,Mahon,642.0,0.55,0.0,0,0,72.18,parking_access_score,72.18,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
77,CNV-INT-0284,E KEITH RD / E VICTORIA PARK AVE,Lower Lonsdale,641.0,0.823,98.0,0,3,72.08,parking_access_score,72.08,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
78,CNV-INT-0217,E 22ND ST / EASTERN AVE,Central Lonsdale,528.0,0.728,9.0,3,1,71.92,parking_access_score,71.92,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
79,CNV-INT-0221,E 23RD ST / ST. GEORGES AVE,Central Lonsdale,374.0,0.653,9.0,1,2,71.76,parking_access_score,71.76,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
80,CNV-INT-0225,E UPPER LEVELS HWY / ST. GEORGES AVE / UPPER LEVELS RAMP,Central Lonsdale,79.0,0.434,9.0,1,1,71.67,parking_access_score,71.67,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
81,CNV-INT-0207,E 19TH ST / ST. GEORGES AVE,Central Lonsdale,733.0,0.89,130.0,3,1,71.65,parking_access_score,71.65,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
82,CNV-INT-0280,E 4TH ST / ST. GEORGES AVE,Lower Lonsdale,602.0,0.814,110.0,2,3,71.6,parking_access_score,71.6,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
83,CNV-INT-0108,E 10TH ST / RIDGEWAY AVE,Central Lonsdale,73.0,0.478,19.0,0,0,71.45,parking_access_score,71.45,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
84,CNV-INT-0213,E 21ST ST / ST. GEORGES AVE,Central Lonsdale,653.0,0.802,9.0,2,1,71.31,parking_access_score,71.31,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
85,CNV-INT-0286,SEMISCH AVE / W 1ST ST,Lower Lonsdale,330.0,0.724,497.0,4,9,70.95,parking_access_score,70.95,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
86,CNV-INT-0070,E 3RD ST / ST. DAVIDS AVE,Moodyville,704.0,0.639,0.0,0,0,70.84,parking_access_score,70.84,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
87,CNV-INT-0206,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,708.0,0.899,130.0,8,16,70.61,parking_access_score,70.61,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
88,CNV-INT-0210,E 20TH ST / ST. GEORGES AVE,Central Lonsdale,716.0,0.852,9.0,3,1,70.39,parking_access_score,70.39,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
89,CNV-INT-0281,E 4TH ST / LONSDALE AVE / W 4TH ST,Lower Lonsdale,593.0,0.821,76.0,6,3,70.38,parking_access_score,70.38,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
90,CNV-INT-0399,JONES AVE / W 18TH ST,Mahon,477.0,0.482,0.0,0,0,70.32,parking_access_score,70.32,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
91,CNV-INT-0282,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,597.0,0.824,98.0,2,2,70.28,parking_access_score,70.28,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
92,CNV-INT-0272,E 2ND ST / LONSDALE AVE / W 2ND ST,Lower Lonsdale,522.0,0.857,928.0,12,23,69.96,parking_access_score,69.96,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
93,CNV-INT-0401,JONES AVE / W 19TH ST,Mahon,477.0,0.492,0.0,0,0,69.94,parking_access_score,69.94,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
94,CNV-INT-0301,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,559.0,0.821,98.0,0,5,69.82,parking_access_score,69.82,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
95,CNV-INT-0024,E 2ND ST / RIDGEWAY AVE,Moodyville,551.0,0.539,0.0,0,0,69.8,parking_access_score,69.8,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
96,CNV-INT-0109,E 10TH ST / ST. ANDREWS AVE,Central Lonsdale,424.0,0.738,27.0,0,0,69.58,parking_access_score,69.58,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
97,CNV-INT-0397,JONES AVE / W 17TH ST,Mahon,475.0,0.506,0.0,0,4,69.29,parking_access_score,69.29,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
98,CNV-INT-0022,E 1ST ST / E 2ND ST,Moodyville,497.0,0.524,0.0,0,0,69.25,parking_access_score,69.25,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
99,CNV-INT-0412,MAHON AVE / W 22ND ST,Mahon,495.0,0.525,0.0,0,0,69.02,parking_access_score,69.02,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
100,CNV-INT-0025,E 3RD ST / MOODY AVE,Moodyville,487.0,0.529,0.0,0,0,68.65,parking_access_score,68.65,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
101,CNV-INT-0068,E 2ND ST / ST. DAVIDS AVE,Moodyville,530.0,0.556,0.0,0,0,68.64,parking_access_score,68.64,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
102,CNV-INT-0302,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,555.0,0.876,588.0,2,9,68.58,parking_access_score,68.58,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
103,CNV-INT-0260,E 2ND ST / ST. GEORGES AVE,Lower Lonsdale,511.0,0.846,470.0,6,6,68.58,parking_access_score,68.58,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
104,CNV-INT-0308,CHESTERFIELD AVE / W 6TH ST,Lower Lonsdale,564.0,0.839,75.0,0,0,68.43,parking_access_score,68.43,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
105,CNV-INT-0223,E 24TH ST / ST. GEORGES AVE,Central Lonsdale,196.0,0.643,9.0,1,1,68.16,parking_access_score,68.16,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
106,CNV-INT-0218,E 22ND ST / ST. ANDREWS AVE,Grand Boulevard,314.0,0.698,9.0,0,1,68.09,parking_access_score,68.09,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
107,CNV-INT-0102,E KEITH RD / ST. GEORGES AVE,Lower Lonsdale,472.0,0.811,98.0,0,2,68.07,parking_access_score,68.07,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
108,CNV-INT-0023,E 2ND ST / MOODY AVE,Moodyville,475.0,0.532,0.0,0,0,68.06,parking_access_score,68.06,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
109,CNV-INT-0300,MAHON AVE / W 4TH ST,Lower Lonsdale,392.0,0.742,21.0,0,0,67.93,parking_access_score,67.93,Derived; see DATA_SOURCES.md for each contributing layer,"Supply from City layers; occupancy from a City survey, NOT a real-time feed."
