rank,feature_id,feature_name,metric,value,source,methodology_note
2,Central Lonsdale,Central Lonsdale,housing_density,4604.386,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),housing_density,2846.2002,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Westview,Westview,housing_density,1886.963,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Tempe,Tempe,housing_density,1367.7523,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Cedar Village,Cedar Village,housing_density,1293.6558,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Marine-Hamilton,Marine-Hamilton,housing_density,1178.9359,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Mahon,Mahon,housing_density,1074.7516,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Grand Boulevard,Grand Boulevard,housing_density,901.107,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Moodyville,Moodyville,housing_density,693.8578,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
1,Lower Lonsdale,Lower Lonsdale,apartment_share,0.9,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
2,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),apartment_share,0.8864,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Central Lonsdale,Central Lonsdale,apartment_share,0.7753,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Marine-Hamilton,Marine-Hamilton,apartment_share,0.5828,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Westview,Westview,apartment_share,0.376,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Moodyville,Moodyville,apartment_share,0.2806,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Mahon,Mahon,apartment_share,0.216,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Tempe,Tempe,apartment_share,0.1048,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Grand Boulevard,Grand Boulevard,apartment_share,0.0367,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Cedar Village,Cedar Village,apartment_share,0.0,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
1,Lower Lonsdale,Lower Lonsdale,population_2021,18645.272,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
2,Central Lonsdale,Central Lonsdale,population_2021,16874.3555,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
3,Marine-Hamilton,Marine-Hamilton,population_2021,4883.4145,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
4,Grand Boulevard,Grand Boulevard,population_2021,4847.7242,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
5,Moodyville,Moodyville,population_2021,3851.2539,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
6,Mahon,Mahon,population_2021,3460.6039,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
7,Westview,Westview,population_2021,2373.6227,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
8,Tempe,Tempe,population_2021,2217.2395,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
9,Cedar Village,Cedar Village,population_2021,813.4952,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
10,Squamish Nation (Mission IR 1),Squamish Nation (Mission IR 1),population_2021,31.3223,"Statistics Canada, 2021 Census Profile 98-401-X2021006, dissemination areas","Areally interpolated from 2021 dissemination areas into CNV neighbourhood boundaries, assuming uniform distribution within each DA. Estimate, not a count."
