intersection_id,icbc_location,crash_count,street_a,street_b,non_cnv_streets_in_record,exclusion_reason,source,source_url,license,prepared_utc
CNV-INT-0296,FORBES AVE & W 1ST ST & W ESPLANDE LANE,10,FORBES AVE,W 1ST ST,W ESPLANDE LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0182,E 13TH ST & LIONS GATE HOSPITAL & ST ANDREWS AVE,6,E 13TH ST,ST. ANDREWS AVE,LIONS GATE HOSPITAL,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0262,SPIRIT TRAIL & ST GEORGES AVE & VICTORY SHIP WAY & INSTITUTIONAL ACCESS,6,ST. GEORGES AVE,VICTORY SHIP WAY,SPIRIT TRAIL; INSTITUTIONAL ACCESS,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0413,CARSON GRAHAM SECONDARY SCHOOL ACCESS & JONES AVE & W 22ND ST,4,JONES AVE,W 22ND ST,CARSON GRAHAM SECONDARY SCHOOL ACCESS,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0040,CLOVERLEY ST & E 5TH LANE & HENDRY AVE,4,CLOVERLEY ST,HENDRY AVE,E 5TH LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0160,E 19TH ST & GRAND BLVD W & QUEENSBURY AVE,3,E 19TH ST,QUEENSBURY AVE,GRAND BLVD W,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0411,CARSON GRAHAM SECONDARY SCHOOL ACCESS & JONES AVE & W 21ST ST,2,JONES AVE,W 21ST ST,CARSON GRAHAM SECONDARY SCHOOL ACCESS,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0418,CARSON GRAHAM SECONDARY SCHOOL ACCESS & LARSON CRES & LARSON RD,2,LARSON CRES,LARSON RD,CARSON GRAHAM SECONDARY SCHOOL ACCESS,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0041,CLOVERLEY LANE & E 6TH ST & HENDRY AVE,2,E 6TH ST,HENDRY AVE,CLOVERLEY LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0073,E ESPLANADE & PARK ST & SPIRIT TRAIL & ST PATRICKS AVE,2,E ESPLANADE,ST. PATRICKS AVE,PARK ST; SPIRIT TRAIL,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0215,E 21ST ST & EASTERN AVE & LONSDALE LANE,1,E 21ST ST,EASTERN AVE,LONSDALE LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0023,E 2ND ST & MOODY AVE & SPIRIT TRAIL,1,E 2ND ST,MOODY AVE,SPIRIT TRAIL,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0088,E 6TH LANE & E 7TH LANE & E 7TH ST & ST DAVIDS AVE,1,E 7TH ST,ST. DAVIDS AVE,E 6TH LANE; E 7TH LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0104,E 8TH LANE & E 8TH ST & ST ANDREWS AVE,1,E 8TH ST,ST. ANDREWS AVE,E 8TH LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0483,HOLY TRINITY ELEMENTARY SCHOOL ACCESS & W 27TH ST & WESTERN AVE,1,W 27TH ST,WESTERN AVE,HOLY TRINITY ELEMENTARY SCHOOL ACCESS,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
CNV-INT-0373,JONES AVE & W 6TH LANE & W 6TH ST,1,JONES AVE,W 6TH ST,W 6TH LANE,"record names non-CNV streets (typically Highway 1 ramps), so the crash total cannot be attributed to a CNV municipal intersection",ICBC Lower Mainland Crashes - EXCLUDED from the analysis layer,https://public.tableau.com/app/profile/icbc/viz/LowerMainlandCrashes/LMDashboard,Open Data Licence for ICBC Information,2026-08-12T15:03:31+00:00
