intersection_id,street_names,neighbourhood,public_space_composite,signalised,full_signal,signal_timing_status,check_sightlines,check_grade_slope,check_curvature,check_sidewalk_width,check_pedestrian_volume,check_signal_cycle_seconds,check_pedestrian_walk_interval,check_noise_environment,check_lighting,check_public_realm_space,instruction
CNV-INT-0209,E 19TH ST / LONSDALE AVE / W 19TH ST,Central Lonsdale,81.36,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0301,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,81.27,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0206,E 18TH ST / LONSDALE AVE / W 18TH ST,Central Lonsdale,81.06,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0282,E 5TH ST / LONSDALE AVE / W 5TH ST,Lower Lonsdale,80.86,False,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0212,E 20TH ST / LONSDALE AVE / W 20TH ST,Central Lonsdale,80.48,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0283,E 6TH ST / LONSDALE AVE / W 6TH ST,Lower Lonsdale,80.09,False,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0386,CHESTERFIELD AVE / W 15TH ST,Central Lonsdale,79.43,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0190,E 15TH ST / ST. GEORGES AVE,Central Lonsdale,78.8,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0302,E KEITH RD / LONSDALE AVE / W KEITH RD,Lower Lonsdale,78.77,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0271,ROGERS AVE / W ESPLANADE,Lower Lonsdale,78.59,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0187,E 13TH ST / ST. GEORGES AVE,Central Lonsdale,78.03,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0222,E 23RD ST / LONSDALE AVE / W 23RD ST,Central Lonsdale,75.69,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0279,CHESTERFIELD AVE / W 1ST ST,Lower Lonsdale,75.69,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0388,CHESTERFIELD AVE / W 16TH ST,Central Lonsdale,75.4,True,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
CNV-INT-0192,E 15TH ST / EASTERN AVE,Central Lonsdale,74.82,False,True,REQUEST_REQUIRED,"Obstructions to sightlines on each approach? (vegetation, parked vehicles, signage)",Noticeable grade or crest limiting visibility?,Curved approach reducing approach visibility?,Usable footway width clear of street furniture (m)?,"Observed pedestrian count, 15 min, with date and time",Measured signal cycle length (s) - not published by CNV,Measured walk interval (s) - not published by CNV,Ambient noise limiting conversation?,Lighting adequate after dark?,Space to stand clear of the footway travel path?,"Field observation is required for these attributes because no public dataset publishes them for CNV. Record the date, time and observer for each visit."
